N,calculated_area,deviation
100,0.48,0.036192
600,0.45,0.006192
1100,0.450909,0.00710109
1600,0.45625,0.012442
2100,0.441905,0.00190324
2600,0.442308,0.00150031
3100,0.457419,0.0136114
3600,0.430833,0.0129747
4100,0.453415,0.00960663
4600,0.436304,0.00750365
5100,0.444314,0.000505725
5600,0.436607,0.00720086
6100,0.439672,0.00413587
6600,0.446667,0.00285867
7100,0.436338,0.00746997
7600,0.436184,0.00762379
8100,0.44358,0.000227753
8600,0.445,0.001192
9100,0.443187,0.000621187
9600,0.434479,0.00932883
10100,0.438713,0.00509513
10600,0.436226,0.00758158
11100,0.44973,0.00592173
11600,0.440086,0.00372179
12100,0.446612,0.00280357
12600,0.439841,0.00396673
13100,0.444962,0.00115383
13600,0.436691,0.00711682
14100,0.448511,0.00470264
14600,0.448904,0.00509611
15100,0.44245,0.00135767
15600,0.441731,0.00207723
16100,0.449006,0.00519821
16600,0.44747,0.00366188
17100,0.43924,0.00456823
17600,0.437727,0.00608073
18100,0.438177,0.0056312
18600,0.444624,0.000815656
19100,0.441518,0.00228968
19600,0.437908,0.00589984
20100,0.444776,0.000968119
20600,0.442573,0.00123518
21100,0.440806,0.00300231
21600,0.446204,0.0023957
22100,0.445747,0.00193861
22600,0.445973,0.00216545
23100,0.449048,0.00523962
23600,0.442966,0.000841898
24100,0.439876,0.00393248
24600,0.439715,0.00409255
25100,0.439004,0.00480402
25600,0.44332,0.000487688
26100,0.450651,0.00684334
26600,0.439398,0.0044095
27100,0.447528,0.00371968
27600,0.44087,0.00293843
28100,0.443132,0.000676327
28600,0.440594,0.00321359
29100,0.444708,0.000899904
29600,0.442736,0.00107151
30100,0.447874,0.00406575
30600,0.444248,0.000440366
31100,0.445016,0.00120808
31600,0.445032,0.00122365
32100,0.441277,0.00253074
32600,0.440767,0.00304113
33100,0.440876,0.00293187
33600,0.440982,0.00282586
34100,0.444927,0.00111869
34600,0.439277,0.00453054
35100,0.444758,0.000949835
35600,0.441517,0.00229115
36100,0.446094,0.00228618
36600,0.442923,0.000884503
37100,0.444744,0.000935935
37600,0.442819,0.000988851
38100,0.44189,0.00191824
38600,0.438394,0.00541422
39100,0.443223,0.000585494
39600,0.443157,0.000651434
40100,0.439501,0.00430675
40600,0.442069,0.00173903
41100,0.445426,0.00161779
41600,0.444399,0.000591038
42100,0.444988,0.00118012
42600,0.445094,0.0012859
43100,0.440719,0.00308874
43600,0.44344,0.000367633
44100,0.439342,0.0044656
44600,0.442309,0.00149858
45100,0.444213,0.00040486
45600,0.442105,0.00170274
46100,0.445965,0.00215729
46600,0.441567,0.00224148
47100,0.439427,0.00438125
47600,0.441828,0.00198027
48100,0.441538,0.00226954
48600,0.439136,0.0046722
49100,0.444399,0.000591185
49600,0.440887,0.0029209
50100,0.443792,1.55848e-05
50600,0.442312,0.00149575
51100,0.44045,0.0033579
51600,0.444922,0.00111448
52100,0.444971,0.00116321
52600,0.44557,0.00176234
53100,0.440508,0.00329953
53600,0.443358,0.000449791
54100,0.445601,0.00179274
54600,0.446245,0.00243742
55100,0.447078,0.00327004
55600,0.441493,0.00231519
56100,0.443369,0.000439016
56600,0.441784,0.00202355
57100,0.445447,0.00163858
57600,0.444219,0.00041075
58100,0.441876,0.00193192
58600,0.440904,0.00290356
59100,0.44286,0.00094844
59600,0.442265,0.0015429
60100,0.443661,0.000147434
60600,0.44571,0.00190157
61100,0.444501,0.000692818
61600,0.443961,0.000153039
62100,0.442061,0.00174681
62600,0.443419,0.00038947
63100,0.443978,0.000169813
63600,0.445031,0.00122345
64100,0.441435,0.00237274
64600,0.440898,0.00291017
65100,0.441843,0.00196468
65600,0.442378,0.00142995
66100,0.441694,0.0021136
66600,0.443348,0.000459652
67100,0.444694,0.000886486
67600,0.444837,0.00102928
68100,0.438943,0.00486527
68600,0.441239,0.00256893
69100,0.442793,0.00101495
69600,0.443549,0.000259149
70100,0.442853,0.000954933
70600,0.447521,0.00371325
71100,0.442321,0.00148732
71600,0.443296,0.000511911
72100,0.444078,0.00026967
72600,0.443044,0.000763923
73100,0.440834,0.00297353
73600,0.442717,0.00109061
74100,0.441619,0.00218857
74600,0.443003,0.000805319
75100,0.443356,0.000452474
75600,0.439709,0.00409901
76100,0.442733,0.00107475
76600,0.443238,0.000570402
77100,0.444488,0.000679678
77600,0.443995,0.000186845
78100,0.442266,0.00154167
78600,0.442557,0.00125075
79100,0.445158,0.00135003
79600,0.441583,0.00222509
80100,0.441548,0.00225994
80600,0.442643,0.00116532
81100,0.442109,0.00169949
81600,0.442292,0.00151633
82100,0.442339,0.00146939
82600,0.44184,0.00196781
83100,0.443165,0.000643138
83600,0.443421,0.000386947
84100,0.444697,0.00088879
84600,0.442305,0.00150304
85100,0.441246,0.00256241
85600,0.443551,0.000256598
86100,0.442056,0.00175225
86600,0.446524,0.00271625
87100,0.442457,0.00135105
87600,0.443311,0.000497498
88100,0.443065,0.000743301
88600,0.443228,0.000580009
89100,0.445208,0.00139963
89600,0.444252,0.000444232
90100,0.444417,0.000609314
90600,0.448344,0.00453637
91100,0.444742,0.000934042
91600,0.441747,0.00206128
92100,0.442921,0.000887262
92600,0.44122,0.0025877
93100,0.444071,0.000262892
93600,0.442853,0.000955436
94100,0.444527,0.000719099
94600,0.441818,0.00198982
95100,0.442524,0.00128434
95600,0.439289,0.0045193
96100,0.442893,0.00091518
96600,0.439545,0.00426349
97100,0.442976,0.000831687
97600,0.440686,0.00312152
98100,0.442915,0.000892608
98600,0.443235,0.000572706
99100,0.442603,0.00120457
99600,0.440171,0.00363732
